Method,n,k,elapsed
BruteForce,1024,8,315389
BruteForceIdiomatic,1024,8,317168
Heap,1024,8,431029
BST,1024,8,305721
Linear,1024,8,118454
BruteForce,1024,16,530003
BruteForceIdiomatic,1024,16,531486
Heap,1024,16,336697
BST,1024,16,348026
Linear,1024,16,119400
BruteForce,1024,32,966757
BruteForceIdiomatic,1024,32,968361
Heap,1024,32,229537
BST,1024,32,392006
Linear,1024,32,117903
BruteForce,1024,64,1775459
BruteForceIdiomatic,1024,64,1775021
Heap,1024,64,202365
BST,1024,64,418064
Linear,1024,64,117576
BruteForce,1024,128,3246669
BruteForceIdiomatic,1024,128,3241810
Heap,1024,128,178975
BST,1024,128,450170
Linear,1024,128,116091
BruteForce,1024,256,5449329
BruteForceIdiomatic,1024,256,5438621
Heap,1024,256,158351
BST,1024,256,438847
Linear,1024,256,110190
BruteForce,1024,512,7183706
BruteForceIdiomatic,1024,512,7180941
Heap,1024,512,152299
BST,1024,512,405710
Linear,1024,512,99979
BruteForce,1024,1024,27979
BruteForceIdiomatic,1024,1024,28103
Heap,1024,1024,130750
BST,1024,1024,285737
Linear,1024,1024,78692
BruteForce,2048,8,612658
BruteForceIdiomatic,2048,8,616059
Heap,2048,8,909890
BST,2048,8,614459
Linear,2048,8,235825
BruteForce,2048,16,1067562
BruteForceIdiomatic,2048,16,1070642
Heap,2048,16,697139
BST,2048,16,715153
Linear,2048,16,237501
BruteForce,2048,32,1952207
BruteForceIdiomatic,2048,32,1956751
Heap,2048,32,511444
BST,2048,32,790009
Linear,2048,32,236873
BruteForce,2048,64,3660822
BruteForceIdiomatic,2048,64,3665978
Heap,2048,64,408410
BST,2048,64,849638
Linear,2048,64,235484
BruteForce,2048,128,6899062
BruteForceIdiomatic,2048,128,6899184
Heap,2048,128,361112
BST,2048,128,940130
Linear,2048,128,234101
BruteForce,2048,256,12695285
BruteForceIdiomatic,2048,256,12674965
Heap,2048,256,343773
BST,2048,256,957919
Linear,2048,256,230240
BruteForce,2048,512,21556260
BruteForceIdiomatic,2048,512,21531628
Heap,2048,512,333770
BST,2048,512,1028531
Linear,2048,512,219876
BruteForce,2048,1024,28606076
BruteForceIdiomatic,2048,1024,28588186
Heap,2048,1024,301635
BST,2048,1024,881145
