Method,n,k,elapsed
BruteForce,1024,8,305097
BruteForceIdiomatic,1024,8,307795
Heap,1024,8,430732
BST,1024,8,311975
Linear,1024,8,123166
BruteForce,1024,16,548386
BruteForceIdiomatic,1024,16,534585
Heap,1024,16,340965
BST,1024,16,360407
Linear,1024,16,121094
BruteForce,1024,32,962826
BruteForceIdiomatic,1024,32,980362
Heap,1024,32,226894
BST,1024,32,391397
Linear,1024,32,118767
BruteForce,1024,64,1786886
BruteForceIdiomatic,1024,64,1778985
Heap,1024,64,208592
BST,1024,64,421710
Linear,1024,64,118302
BruteForce,1024,128,3226884
BruteForceIdiomatic,1024,128,3260146
Heap,1024,128,181848
BST,1024,128,443702
Linear,1024,128,118312
BruteForce,1024,256,5457929
BruteForceIdiomatic,1024,256,5477648
Heap,1024,256,165869
BST,1024,256,441051
Linear,1024,256,110406
BruteForce,1024,512,7211167
BruteForceIdiomatic,1024,512,7215231
Heap,1024,512,153533
BST,1024,512,422760
Linear,1024,512,104199
BruteForce,1024,1024,28931
BruteForceIdiomatic,1024,1024,29011
Heap,1024,1024,135455
BST,1024,1024,266169
Linear,1024,1024,79480
BruteForce,2048,8,612067
BruteForceIdiomatic,2048,8,617090
Heap,2048,8,948304
BST,2048,8,619554
Linear,2048,8,236801
BruteForce,2048,16,1070432
BruteForceIdiomatic,2048,16,1075972
Heap,2048,16,739153
BST,2048,16,696866
Linear,2048,16,245845
BruteForce,2048,32,1973415
BruteForceIdiomatic,2048,32,1960980
Heap,2048,32,524651
BST,2048,32,821433
Linear,2048,32,252467
BruteForce,2048,64,3682476
BruteForceIdiomatic,2048,64,3680499
Heap,2048,64,432131
BST,2048,64,843960
Linear,2048,64,236713
BruteForce,2048,128,6949859
BruteForceIdiomatic,2048,128,6944708
Heap,2048,128,367363
BST,2048,128,909334
Linear,2048,128,234960
BruteForce,2048,256,12767308
BruteForceIdiomatic,2048,256,12724041
Heap,2048,256,347599
BST,2048,256,930205
Linear,2048,256,227361
BruteForce,2048,512,21857614
BruteForceIdiomatic,2048,512,21789936
Heap,2048,512,332725
BST,2048,512,961729
Linear,2048,512,217264
BruteForce,2048,1024,29041699
BruteForceIdiomatic,2048,1024,29015638
Heap,2048,1024,309596
BST,2048,1024,866534
Linear,2048,1024,198826
BruteForce,4096,8,1234846
BruteForceIdiomatic,4096,8,1244368
Heap,4096,8,2209631
BST,4096,8,1217805
Linear,4096,8,474743
BruteForce,4096,16,2171059
BruteForceIdiomatic,4096,16,2159296
Heap,4096,16,1653444
BST,4096,16,1397650
Linear,4096,16,490883
BruteForce,4096,32,3966875
BruteForceIdiomatic,4096,32,3978111
Heap,4096,32,1088925
BST,4096,32,1563860
Linear,4096,32,475278
BruteForce,4096,64,7507674
BruteForceIdiomatic,4096,64,7514780
Heap,4096,64,936147
BST,4096,64,1708206
Linear,4096,64,486285
BruteForce,4096,128,14470940
BruteForceIdiomatic,4096,128,14348116
Heap,4096,128,829024
BST,4096,128,1853157
Linear,4096,128,471027
BruteForce,4096,256,27541428
BruteForceIdiomatic,4096,256,27484369
Heap,4096,256,708848
BST,4096,256,2018061
Linear,4096,256,466175
BruteForce,4096,512,50612074
BruteForceIdiomatic,4096,512,50872783
Heap,4096,512,703483
BST,4096,512,2132020
Linear,4096,512,453594
BruteForce,4096,1024,86823483
BruteForceIdiomatic,4096,1024,86879458
Heap,4096,1024,651988
BST,4096,1024,2128816
Linear,4096,1024,446657
BruteForce,8192,8,2467032
BruteForceIdiomatic,8192,8,2478091
Heap,8192,8,4582230
BST,8192,8,2450198
Linear,8192,8,946815
BruteForce,8192,16,4333939
BruteForceIdiomatic,8192,16,4336561
Heap,8192,16,3218616
BST,8192,16,2845376
Linear,8192,16,947622
BruteForce,8192,32,7966469
BruteForceIdiomatic,8192,32,8005142
Heap,8192,32,2433548
BST,8192,32,3156599
Linear,8192,32,950442
BruteForce,8192,64,15192073
BruteForceIdiomatic,8192,64,15207707
Heap,8192,64,1880771
BST,8192,64,3456019
Linear,8192,64,968231
BruteForce,8192,128,29384053
BruteForceIdiomatic,8192,128,29360491
Heap,8192,128,1814833
BST,8192,128,3765777
Linear,8192,128,945673
BruteForce,8192,256,56865668
BruteForceIdiomatic,8192,256,56717915
Heap,8192,256,1456196
BST,8192,256,3999813
Linear,8192,256,943683
BruteForce,8192,512,109117002
BruteForceIdiomatic,8192,512,109033741
Heap,8192,512,1403107
BST,8192,512,4415288
Linear,8192,512,931897
BruteForce,8192,1024,202726966
BruteForceIdiomatic,8192,1024,202867065
Heap,8192,1024,1361298
BST,8192,1024,4462140
Linear,8192,1024,903766
BruteForce,16384,8,4950025
BruteForceIdiomatic,16384,8,4995587
Heap,16384,8,10107307
BST,16384,8,4902540
Linear,16384,8,1886408
BruteForce,16384,16,8659949
BruteForceIdiomatic,16384,16,8685524
Heap,16384,16,7046993
BST,16384,16,5622021
Linear,16384,16,1898275
BruteForce,16384,32,16039713
BruteForceIdiomatic,16384,32,16110619
Heap,16384,32,5163720
BST,16384,32,6337442
Linear,16384,32,1910237
BruteForce,16384,64,30472734
BruteForceIdiomatic,16384,64,30507105
Heap,16384,64,3903612
BST,16384,64,6928492
Linear,16384,64,1901430
BruteForce,16384,128,59165027
BruteForceIdiomatic,16384,128,59161394
Heap,16384,128,3326561
BST,16384,128,7586359
Linear,16384,128,1961031
BruteForce,16384,256,115730845
BruteForceIdiomatic,16384,256,115644783
Heap,16384,256,3066434
BST,16384,256,8178214
Linear,16384,256,1919785
BruteForce,16384,512,225880987
BruteForceIdiomatic,16384,512,225709849
Heap,16384,512,2806657
BST,16384,512,8622122
Linear,16384,512,1898096
BruteForce,16384,1024,434162936
BruteForceIdiomatic,16384,1024,434724047
Heap,16384,1024,2769030
BST,16384,1024,9468303
Linear,16384,1024,1856287
BruteForce,32768,8,9899904
BruteForceIdiomatic,32768,8,9963023
Heap,32768,8,22044600
BST,32768,8,9840600
Linear,32768,8,3775242
BruteForce,32768,16,17417532
BruteForceIdiomatic,32768,16,17564994
Heap,32768,16,18142429
BST,32768,16,11356746
Linear,32768,16,3778742
BruteForce,32768,32,32165563
BruteForceIdiomatic,32768,32,32207302
Heap,32768,32,12187033
BST,32768,32,12613613
Linear,32768,32,3795879
BruteForce,32768,64,61237031
BruteForceIdiomatic,32768,64,61254783
Heap,32768,64,9417027
BST,32768,64,13907418
Linear,32768,64,3820026
BruteForce,32768,128,118858223
BruteForceIdiomatic,32768,128,118789429
Heap,32768,128,6881391
BST,32768,128,15279533
Linear,32768,128,3835013
BruteForce,32768,256,232975357
