Method,n,k,elapsed
BruteForce,1024,8,12327
BruteForceIdiomatic,1024,8,8759
Heap,1024,8,55692
BST,1024,8,69829
Linear,1024,8,15018
BruteForce,1024,16,16237
BruteForceIdiomatic,1024,16,18051
Heap,1024,16,37020
BST,1024,16,83163
Linear,1024,16,14787
BruteForce,1024,32,33944
BruteForceIdiomatic,1024,32,36194
Heap,1024,32,25985
BST,1024,32,92196
Linear,1024,32,15215
BruteForce,1024,64,67092
BruteForceIdiomatic,1024,64,74313
Heap,1024,64,21172
BST,1024,64,103449
Linear,1024,64,15235
BruteForce,1024,128,123053
BruteForceIdiomatic,1024,128,131933
Heap,1024,128,18722
BST,1024,128,104887
Linear,1024,128,14159
BruteForce,1024,256,209759
BruteForceIdiomatic,1024,256,230361
Heap,1024,256,24943
BST,1024,256,162118
Linear,1024,256,19511
BruteForce,1024,512,417900
BruteForceIdiomatic,1024,512,442513
Heap,1024,512,24927
BST,1024,512,163207
Linear,1024,512,18293
BruteForce,1024,1024,1738
BruteForceIdiomatic,1024,1024,1714
Heap,1024,1024,22122
BST,1024,1024,131869
Linear,1024,1024,12747
BruteForce,2048,8,24502
BruteForceIdiomatic,2048,8,25236
Heap,2048,8,163992
BST,2048,8,207043
Linear,2048,8,48202
BruteForce,2048,16,47028
BruteForceIdiomatic,2048,16,52616
Heap,2048,16,116567
BST,2048,16,228557
Linear,2048,16,49179
BruteForce,2048,32,99746
BruteForceIdiomatic,2048,32,75535
Heap,2048,32,70365
BST,2048,32,183232
Linear,2048,32,47315
BruteForce,2048,64,204499
BruteForceIdiomatic,2048,64,227178
Heap,2048,64,70491
BST,2048,64,303699
Linear,2048,64,45316
BruteForce,2048,128,394192
BruteForceIdiomatic,2048,128,426684
Heap,2048,128,61474
BST,2048,128,328578
Linear,2048,128,45710
BruteForce,2048,256,735955
BruteForceIdiomatic,2048,256,785177
Heap,2048,256,59130
BST,2048,256,350140
Linear,2048,256,44167
BruteForce,2048,512,1152245
BruteForceIdiomatic,2048,512,1121284
Heap,2048,512,46649
BST,2048,512,285742
Linear,2048,512,36739
BruteForce,2048,1024,1338642
BruteForceIdiomatic,2048,1024,1318520
Heap,2048,1024,39825
BST,2048,1024,262645
Linear,2048,1024,31818
BruteForce,4096,8,36033
BruteForceIdiomatic,4096,8,36974
Heap,4096,8,269221
BST,4096,8,293478
Linear,4096,8,69984
BruteForce,4096,16,65335
BruteForceIdiomatic,4096,16,72462
Heap,4096,16,179033
BST,4096,16,347713
Linear,4096,16,67258
BruteForce,4096,32,138508
BruteForceIdiomatic,4096,32,148146
Heap,4096,32,147695
BST,4096,32,372280
Linear,4096,32,61544
BruteForce,4096,64,277776
BruteForceIdiomatic,4096,64,296891
Heap,4096,64,101274
BST,4096,64,397029
Linear,4096,64,62740
BruteForce,4096,128,527878
BruteForceIdiomatic,4096,128,559327
Heap,4096,128,85997
BST,4096,128,420772
Linear,4096,128,61387
BruteForce,4096,256,1021077
BruteForceIdiomatic,4096,256,1067913
Heap,4096,256,81673
BST,4096,256,470741
Linear,4096,256,61688
BruteForce,4096,512,1904122
BruteForceIdiomatic,4096,512,1988734
Heap,4096,512,77649
BST,4096,512,502327
Linear,4096,512,62004
BruteForce,4096,1024,3264860
BruteForceIdiomatic,4096,1024,3418649
Heap,4096,1024,74589
BST,4096,1024,526704
Linear,4096,1024,60367
BruteForce,8192,8,63453
BruteForceIdiomatic,8192,8,67311
Heap,8192,8,534050
BST,8192,8,544359
Linear,8192,8,126288
BruteForce,8192,16,123155
BruteForceIdiomatic,8192,16,136732
Heap,8192,16,410509
BST,8192,16,662080
Linear,8192,16,125660
BruteForce,8192,32,273428
BruteForceIdiomatic,8192,32,287855
Heap,8192,32,297525
BST,8192,32,730941
Linear,8192,32,125849
BruteForce,8192,64,539633
BruteForceIdiomatic,8192,64,600262
Heap,8192,64,253635
BST,8192,64,793573
Linear,8192,64,127567
BruteForce,8192,128,1088587
BruteForceIdiomatic,8192,128,1141438
Heap,8192,128,202281
BST,8192,128,889436
Linear,8192,128,127378
BruteForce,8192,256,2110412
BruteForceIdiomatic,8192,256,2219750
Heap,8192,256,166099
BST,8192,256,961894
Linear,8192,256,123623
BruteForce,8192,512,4097391
BruteForceIdiomatic,8192,512,4314902
Heap,8192,512,157495
BST,8192,512,1050302
Linear,8192,512,121845
BruteForce,8192,1024,7588407
BruteForceIdiomatic,8192,1024,8059992
Heap,8192,1024,154575
BST,8192,1024,1107806
Linear,8192,1024,126366
BruteForce,16384,8,130508
BruteForceIdiomatic,16384,8,134307
Heap,16384,8,1202251
BST,16384,8,1082493
Linear,16384,8,251374
BruteForce,16384,16,246118
BruteForceIdiomatic,16384,16,281824
Heap,16384,16,830260
BST,16384,16,1384222
Linear,16384,16,251133
BruteForce,16384,32,573622
BruteForceIdiomatic,16384,32,577161
Heap,16384,32,600318
BST,16384,32,1507762
Linear,16384,32,250417
BruteForce,16384,64,1115473
BruteForceIdiomatic,16384,64,1203406
Heap,16384,64,522607
BST,16384,64,1617489
Linear,16384,64,246943
BruteForce,16384,128,2161765
BruteForceIdiomatic,16384,128,2316015
Heap,16384,128,405482
BST,16384,128,1766898
Linear,16384,128,246703
BruteForce,16384,256,4284526
BruteForceIdiomatic,16384,256,4511979
Heap,16384,256,347778
BST,16384,256,1930796
Linear,16384,256,247897
BruteForce,16384,512,8474577
BruteForceIdiomatic,16384,512,8939020
Heap,16384,512,348273
BST,16384,512,2172035
Linear,16384,512,252895
BruteForce,16384,1024,16391449
BruteForceIdiomatic,16384,1024,17197055
Heap,16384,1024,319462
BST,16384,1024,2322709
Linear,16384,1024,251457
BruteForce,32768,8,260934
BruteForceIdiomatic,32768,8,260657
Heap,32768,8,2511631
BST,32768,8,2209292
Linear,32768,8,508955
BruteForce,32768,16,507086
BruteForceIdiomatic,32768,16,572929
Heap,32768,16,2035461
BST,32768,16,2823043
Linear,32768,16,524798
BruteForce,32768,32,1048165
BruteForceIdiomatic,32768,32,1121896
Heap,32768,32,1521902
BST,32768,32,3083798
Linear,32768,32,507911
BruteForce,32768,64,2209960
BruteForceIdiomatic,32768,64,2426887
Heap,32768,64,1026205
BST,32768,64,3343950
Linear,32768,64,503785
BruteForce,32768,128,4405022
BruteForceIdiomatic,32768,128,4684995
Heap,32768,128,807240
BST,32768,128,3504503
Linear,32768,128,500261
BruteForce,32768,256,8751797
BruteForceIdiomatic,32768,256,9055619
Heap,32768,256,787948
BST,32768,256,3809986
Linear,32768,256,503127
BruteForce,32768,512,17258620
